,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
7,8.53125,8.1640625,0.24609375,2,5.60546875,0.00390625,2,0.2703501533746748,0.27593029336720576,0.026602568808698317
17,4.46875,8.1640625,0.65234375,2,5.60546875,0.00390625,2,0.13286205451796404,0.10427903724598224,0.026615502636554485
2,4.46875,8.1640625,0.24609375,2,5.60546875,0.00390625,2,0.06969401232274561,0.07729411553893094,0.027524815350764342
12,4.46875,8.2421875,0.24609375,2,5.60546875,0.00390625,2,0.18674698271928103,0.18001695016596017,0.024577646460518274
42,5.46875,4.4140625,0.37109375,2,6.73046875,0.37890625,2,0.18567620348071384,0.16823988572383908,0.02828621165224525
21,4.46875,8.1640625,0.24609375,3,5.60546875,0.00390625,2,0.17351060559314918,0.16637368407099154,0.0038739127331505196
37,8.53125,8.2421875,0.65234375,3,6.37890625,0.03515625,2,0.2001690396254836,0.1857041229776026,0.006703008908905517
27,4.46875,8.1640625,0.24609375,2,6.37890625,0.00390625,2,0.23186711692549555,0.1879786216479528,0.02581013609307795
32,4.46875,8.1640625,0.24609375,2,5.60546875,0.03515625,2,0.2054902887459397,0.1688727860487447,0.026441004267721058
18,4.46875,8.1640625,0.65234375,2,5.60546875,0.00390625,3,0.2415754697436404,0.16963577606204777,0.02641879415290856
83,9.53125,9.4140625,0.87109375,4,2.23046875,0.87890625,3,0.25876795705338446,0.2229861910004061,0.0
73,5.53125,4.4921875,0.02734375,2,3.00390625,0.16015625,3,0.6023405242134326,0.5168304020843361,0.038227489390905756
93,9.46875,9.4140625,0.52734375,4,2.23046875,0.87890625,3,1.6362947535229369,1.2967443860613252,0.0
10,8.53125,8.1640625,0.24609375,2,5.60546875,0.00390625,3,0.21038014526071777,0.17784070319582362,0.02726006623257771
68,5.46875,4.4140625,0.37109375,2,6.73046875,0.16015625,3,0.07886868773791827,0.0866991384006954,0.029977898258606896
28,4.46875,8.1640625,0.24609375,2,6.37890625,0.00390625,3,0.06962178435910335,0.08493960401074932,0.026082125761682843
23,4.46875,8.1640625,0.24609375,3,5.60546875,0.00390625,3,0.18112856868853688,0.0889158879335927,0.006963567612410987
78,9.46875,9.4140625,0.87109375,4,2.23046875,0.87890625,3,0.4843182849312028,0.4245105076327779,0.0
34,4.46875,8.1640625,0.24609375,2,5.60546875,0.03515625,3,0.22438000988338935,0.1977976725339093,0.02769666342060344
